CustomerID,FirstName,LastName,Date_of_Birth,City,State,Country,PostalCode,Phone,Email,DateEntered
57081,James,Smith,26-03-1987,New York,New York,United States,280862,9638483934,James.Smith@gmail.com,02-01-2020
57082,Robert,Downey Jr,24-05-1973,New York,New York,United States,376573,6588282115,Robert.Downey Jr@gmail.com,06-01-2020
57083,John,Williams,14-04-1990,Chicago,Illinois,United States,485629,7641021429,John.Williams@gmail.com,11-01-2020
57084,Michael,Johnson,25-03-1953,Brisbane,Queensland,Australia,260866,7354232181,Michael.Johnson@gmail.com,16-01-2020
57085,Steve,Williams,24-04-1971,Bremen,Bremen,Germany,740338,6285552036,Steve.Williams@gmail.com,17-01-2020
57086,David,Beckham,18-10-1965,Villach,Carinthia,Austria,621492,7756781677,David.Beckham@gmail.com,20-01-2020
57087,Richard,Brown,16-12-1958,San Antonio,Texas,United States,110945,8420993031,Richard.Brown@gmail.com,20-01-2020
57088,Joseph,James,27-08-1967,Amsterdam,North Holland,Netherlands,186896,6691466381,Joseph.James@gmail.com,25-01-2020
57089,Thomas,Jones,30-04-1950,Dallas,Texas,United States,174080,8024463594,Thomas.Jones@gmail.com,26-01-2020
57090,Charles,King,24-06-1993,Warsaw,Masovian,Poland,589838,8498546902,Charles.King@gmail.com,27-01-2020
57091,Christopher,Garcia,21-03-1988,Austin,Texas,United States,772795,9610580408,Christopher.Garcia@gmail.com,03-02-2020
57092,Daniel,Rensch,10-02-1966,Dublin,Dublin,Ireland,189723,7947018222,Daniel.Rensch@gmail.com,03-02-2020
57093,Matthew,Miller,03-06-1971,Brisbane,Queensland,Australia,901170,7764122382,Matthew.Miller@gmail.com,04-02-2020
57094,Anthony,James,12-04-1957,Brussels,Brussels-Capital,Belgium,322713,9371469569,Anthony.James@gmail.com,07-02-2020
57095,Mark,Davis,13-03-1960,Brussels,Brussels-Capital,Belgium,943158,8396048181,Mark.Davis@gmail.com,09-02-2020
57096,Donald,Rodriguez,29-01-1952,Patras,Western Greece,Greece,127461,9919606399,Donald.Rodriguez@gmail.com,09-02-2020
57097,Steven,Smith,13-07-1995,Braga,Braga,Portugal,531783,7287587361,Steven.Smith@gmail.com,10-02-2020
57098,Paul,Walker,21-09-1960,Seattle,Washington,United States,427696,8892185286,Paul.Walker@gmail.com,11-02-2020
57099,Andrew,Martinez,04-03-1998,Bruges,West Flanders,Belgium,717216,9289999420,Andrew.Martinez@gmail.com,11-02-2020
57100,Joshua,Fernandez,07-05-1994,Braga,Braga,Portugal,700077,7810204569,Joshua.Fernandez@gmail.com,13-02-2020
57101,Kenneth,Hernandez,07-08-1987,Belfast,Belfast,Northern Ireland,462012,6036253941,Kenneth.Hernandez@gmail.com,14-02-2020
57102,Kevin,Hart,02-04-1967,Galway,Galway,Ireland,343088,6130341879,Kevin.Hart@gmail.com,16-02-2020
57103,Brian,Lopez,26-01-1952,Bremen,Bremen,Germany,627019,8605500276,Brian.Lopez@gmail.com,17-02-2020
57104,George,Clooney,05-07-1970,Amsterdam,North Holland,Netherlands,811771,9515240360,George.Clooney@gmail.com,18-02-2020
57105,Edward,Gonzalez,08-07-1972,Patras,Western Greece,Greece,588452,9234402314,Edward.Gonzalez@gmail.com,20-02-2020
57106,Ronald,Reagan,09-11-1976,Bucharest,Bucharest,Romania,335722,9379225699,Ronald.Reagan@gmail.com,21-02-2020
57107,Timothy,Wilson,29-05-1970,Zurich,Zurich,Switzerland,884138,8426394400,Timothy.Wilson@gmail.com,22-02-2020
57108,Jason,Derulo,27-02-1989,San Francisco,California,United States,581225,7263791644,Jason.Derulo@gmail.com,22-02-2020
57109,Jeffrey,Anderson,12-03-1996,Houston,Texas,United States,331823,7768296308,Jeffrey.Anderson@gmail.com,23-02-2020
57110,Ryan,Reynolds,07-03-1954,Brisbane,Queensland,Australia,610116,6704627597,Ryan.Reynolds@gmail.com,25-02-2020
57111,Jacob,Thomas,15-03-1974,Houston,Texas,United States,984201,8083693716,Jacob.Thomas@gmail.com,27-02-2020
57112,Gary,Kirsten,04-08-1974,Villach,Carinthia,Austria,380913,6949489670,Gary.Kirsten@gmail.com,28-02-2020
57113,Nicholas,Taylor,01-06-1980,Brisbane,Queensland,Australia,181308,6456674222,Nicholas.Taylor@gmail.com,28-02-2020
57114,Eric,Rosen,20-12-1962,Amsterdam,North Holland,Netherlands,304934,7552732635,Eric.Rosen@gmail.com,01-03-2020
57115,Jonathan,Moore,30-10-1970,Namur,Namur,Belgium,461400,7933090166,Jonathan.Moore@gmail.com,02-03-2020
57116,Stephen,Cole,16-03-1999,Warsaw,Masovian,Poland,930079,7949241495,Stephen.Cole@gmail.com,02-03-2020
